date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:55	39348/39348	---M-Z	200	added ('OK')	text/html	etag:%2299b4-5ae5fccffde00-gzip%22	https://codezion.com/themes/tm/html/rides/index.html	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/index.html	(from )
11:54:55	235/235	---M-Z	200	added ('OK')	text/plain	date:Wed,%2028%20Feb%202024%2006:24:57%20GMT	https://codezion.com/robots.txt		(from )
11:54:56	4110/4110	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22100e-5ae5fcd3ce700%22	https://codezion.com/themes/tm/html/rides/assets/images/favicon.ico	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/images/favicon.ico	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:56	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/bootstrap.min.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:58	70469/70469	---M-Z	200	added ('OK')	text/css	etag:%2211345-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/font-awesome.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/font-awesome.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:58	7626/7626	---M-Z	200	added ('OK')	text/css	etag:%221dca-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/font/flaticon.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/font/flaticon.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:59	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/slick.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/slick.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:59	11115/11115	---M-Z	200	added ('OK')	text/css	etag:%222b6b-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/ion.rangeSlider.min.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/ion.rangeSlider.min.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:54:59	20693/20693	---M-Z	200	added ('OK')	text/css	etag:%2250d5-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/datepicker.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/datepicker.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:55:00	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/magnific-popup.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:55:00	3084/3084	---M-Z	200	added ('OK')	text/css	etag:%22c0c-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/nice-select.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/nice-select.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:55:00	48835/48835	---M-Z	200	added ('OK')	text/css	etag:%22bec3-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/style.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/style.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:55:00	6732/6732	---M-Z	200	added ('OK')	text/css	etag:%221a4c-5ae5fcd1e6280-gzip%22	https://codezion.com/themes/tm/html/rides/assets/css/responsive.css	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/css/responsive.css	(from https://codezion.com/themes/tm/html/rides/index.html)
11:55:01	19606/19606	---M--	200	added ('OK')	image/png	etag:%224c96-5ae5fcd3ce700%22	https://codezion.com/themes/tm/html/rides/assets/images/logo.png	C:/My%20Web%20Sites/Swagat_Ck/codezion.com/themes/tm/html/rides/assets/images/logo.png	(from https://codezion.com/themes/tm/html/rides/index.html)
